time,totalAgents,preyCount,predatorCount,preyJuvenileCount,preyAdultCount,predatorJuvenileCount,predatorAdultCount,avgPreyEnergy,avgPredatorEnergy,minPreyEnergy,maxPreyEnergy,minPredatorEnergy,maxPredatorEnergy,totalBirths,totalDeaths,totalKills,availableGrassPatches,totalGrassPatches,totalGrassFood,maxGrassFood,shelterOccupancy,shelterCapacity
0.02,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,2,30
1.026,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,2,30
2.039,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
3.048,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
4.065,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
5.069,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
6.072,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
7.075,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
8.082,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
9.086,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
10.095,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
11.096,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
12.098,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
13.1,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
14.107,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
15.109,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
16.117,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
17.122,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
18.126,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
19.128,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
20.15,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
21.153,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
22.156,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
23.163,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
24.164,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
25.165,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
26.174,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
27.189,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
28.199,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
29.214,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
30.223,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
31.23,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
32.234,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
33.235,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
34.237,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
35.239,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
36.242,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
37.244,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
38.245,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
39.25,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
40.259,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
41.259,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
42.261,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
43.264,40,32,8,11,21,3,5,100,100,100,100,100,100,0,0,0,6,6,600,600,3,30
